week 2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water quality ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample ,PH,TDS (ppt),Salinity (ppt),Temperature,DO(mg/l) winkler,Conductivity (mS),,,,,,,,,,,,,,,,,,,,,,,,,,,Nitrite,,,,,,,,,,,,,,,,,Treatment ,PH,Salinity ,Temperature,DO,Conductivity,TDS
,,,,,,,,,,,,,,,,,,Conductivity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1,24.33,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2,26.67,27.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3,25.47,25.47,,,,,,,,,,,,,Phosphate iron ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4,24.33,25,,,,,,,,,,,,,,IMTA,Monoculture,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5,26.73,27.8,,,,,,,,,,,,,3,86.33,98.33,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,127.33,70.67,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
